Order ID,Order Date,Order Priority,Product Category,Product Sub-Category,Product Name,Quantity ordered new,Product Container,Ship Mode,Ship Date
88522,2015-01-07,High,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,4,Wrap Bag,Express Air,2015-01-08
90193,2015-06-13,Not Specified,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,12,Jumbo Drum,Delivery Truck,2015-06-15
90192,2015-02-15,Critical,Furniture,Office Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",22,Small Pack,Regular Air,2015-02-17
86838,2015-05-12,Medium,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,16,Small Box,Regular Air,2015-05-14
86838,2015-05-12,Medium,Office Supplies,Pens & Art Supplies,Newell 321,7,Wrap Bag,Regular Air,2015-05-13
86838,2015-05-12,Medium,Office Supplies,Pens & Art Supplies,Newell 351,4,Wrap Bag,Regular Air,2015-05-13
86838,2015-05-12,Medium,Office Supplies,Rubber Bands,"OIC Colored Binder Clips, Assorted Sizes",4,Wrap Bag,Regular Air,2015-05-13
86837,2015-04-08,Critical,Office Supplies,Envelopes,Grip Seal Envelopes,7,Small Box,Regular Air,2015-04-09
86839,2015-05-28,Medium,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",10,Small Box,Regular Air,2015-05-28
86836,2015-02-12,High,Office Supplies,Rubber Bands,Staples Gold Paper Clips,6,Wrap Bag,Regular Air,2015-02-15
86836,2015-02-12,High,Technology,Telephones and Communication,StarTAC 7797,10,Small Box,Regular Air,2015-02-14
90031,2015-05-15,High,Furniture,Office Furnishings,DAX Natural Wood-Tone Poster Frame,17,Small Box,Regular Air,2015-05-16
90032,2015-05-21,Not Specified,Technology,Office Machines,Hewlett Packard 6S Scientific Calculator,18,Medium Box,Regular Air,2015-05-23
41793,2015-05-15,High,Furniture,Office Furnishings,DAX Natural Wood-Tone Poster Frame,70,Small Box,Regular Air,2015-05-16
42949,2015-05-21,Not Specified,Office Supplies,Rubber Bands,Advantus Plastic Paper Clips,58,Wrap Bag,Regular Air,2015-05-22
42949,2015-05-21,Not Specified,Technology,Office Machines,Hewlett Packard 6S Scientific Calculator,71,Medium Box,Regular Air,2015-05-23
87651,2015-01-28,High,Office Supplies,Paper,Xerox 194,1,Small Box,Regular Air,2015-01-29
87651,2015-01-28,High,Office Supplies,Pens & Art Supplies,Newell 323,1,Wrap Bag,Regular Air,2015-01-30
87652,2015-05-02,Not Specified,Furniture,Office Furnishings,Eldon Image Series Black Desk Accessories,12,Small Box,Regular Air,2015-05-04
89199,2015-02-22,High,Office Supplies,Pens & Art Supplies,Hunt Boston® Vacuum Mount KS Pencil Sharpener,13,Small Box,Regular Air,2015-02-23
89200,2015-03-27,High,Technology,Office Machines,Canon P1-DHIII Palm Printing Calculator,2,Medium Box,Regular Air,2015-03-28
89202,2015-01-20,Medium,Technology,Telephones and Communication,StarTAC 3000,8,Small Box,Express Air,2015-01-22
89203,2015-03-12,Low,Technology,Telephones and Communication,TimeportP7382,22,Small Box,Regular Air,2015-03-19
89201,2015-06-15,Not Specified,Office Supplies,Binders and Binder Accessories,Storex DuraTech Recycled Plastic Frosted Binders,13,Small Box,Regular Air,2015-06-17
89201,2015-06-15,Not Specified,Office Supplies,Pens & Art Supplies,Newell 338,18,Wrap Bag,Regular Air,2015-06-16
91454,2015-05-10,High,Technology,Office Machines,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,6,Small Box,Regular Air,2015-05-11
88426,2015-03-10,Not Specified,Technology,Telephones and Communication,6160,6,Small Box,Regular Air,2015-03-10
88425,2015-01-28,Critical,Technology,Office Machines,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,1,Jumbo Box,Delivery Truck,2015-01-30
88426,2015-03-10,Not Specified,Office Supplies,Paper,Xerox 1903,17,Small Box,Regular Air,2015-03-11
88075,2015-04-20,Medium,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,20,Small Box,Regular Air,2015-04-21
88075,2015-04-20,Medium,Office Supplies,Pens & Art Supplies,Newell 310,17,Wrap Bag,Regular Air,2015-04-21
87407,2015-05-09,High,Office Supplies,Paper,Xerox 193,3,Small Box,Regular Air,2015-05-11
87408,2015-06-12,High,Office Supplies,Paper,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",17,Wrap Bag,Regular Air,2015-06-14
87406,2015-03-02,Not Specified,Office Supplies,Labels,Avery 501,1,Small Box,Regular Air,2015-03-04
87406,2015-03-02,Not Specified,Technology,Telephones and Communication,5165,4,Small Box,Express Air,2015-03-02
87946,2015-01-02,Low,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",8,Small Box,Regular Air,2015-01-09
37537,2015-01-02,Low,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,4,Jumbo Drum,Delivery Truck,2015-01-02
37537,2015-01-02,Low,Furniture,Chairs & Chairmats,Hon Valutask™ Swivel Chairs,43,Jumbo Drum,Delivery Truck,2015-01-04
37537,2015-01-02,Low,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",32,Small Box,Regular Air,2015-01-09
