Order ID,Order Date,Quantity ordered new,Unit Price,Sales,Discount_%,Shipping Cost,Profit,Product Base Margin
88522,2015-01-07,4,2.84,13.01,1,0.93,4.56,0.54
90193,2015-06-13,12,500.98,6362.85,2,26.0,4390.3665,0.6
90192,2015-02-15,22,9.48,211.15,6,7.29,-53.8096,0.45
86838,2015-05-12,16,78.69,1164.45,9,19.99,803.4705,0.43
86838,2015-05-12,7,3.28,22.23,8,2.31,-24.03,0.56
86838,2015-05-12,4,3.28,13.99,5,4.2,-37.03,0.56
86838,2015-05-12,4,3.58,14.26,5,1.63,-0.71,0.36
86837,2015-04-08,7,4.42,33.47,0,4.99,-59.82,0.38
86839,2015-05-28,10,35.94,379.53,1,6.66,261.87569999999994,0.4
86836,2015-02-12,6,2.98,18.8,4,1.58,2.63,0.39
86836,2015-02-12,10,115.99,945.99,5,2.5,652.7330999999999,0.55
90031,2015-05-15,17,26.48,455.77,5,6.93,314.4813,0.49
90032,2015-05-21,18,12.99,231.79,7,9.44,-114.63990000000001,0.39
41793,2015-05-15,70,26.48,1876.69,5,6.93,384.38,0.49
42949,2015-05-21,58,5.0,293.06,8,3.39,-17.49,0.37
42949,2015-05-21,71,12.99,914.29,7,9.44,-114.63990000000001,0.39
87651,2015-01-28,1,55.48,67.49,6,14.3,-28.2968,0.37
87651,2015-01-28,1,1.68,2.25,2,1.57,-5.3072,0.59
87652,2015-05-02,12,4.14,54.78,4,6.6,8.894000000000005,0.49
89199,2015-02-22,13,34.99,424.68,8,7.73,144.69,0.59
89200,2015-03-27,2,17.98,40.17,1,8.51,-35.8788,0.4
89202,2015-01-20,8,125.99,783.55,9,7.69,209.997,0.59
89203,2015-03-12,22,205.99,3838.14,6,8.99,3568.096,0.56
89201,2015-06-15,13,4.24,58.68,3,5.41,-84.4376,0.35
89201,2015-06-15,18,2.94,53.1,4,0.7,24.312,0.58
91454,2015-05-10,6,99.99,647.07,0,19.99,25.913820000000015,0.52
88426,2015-03-10,6,115.99,627.04,0,2.5,162.666,0.57
88425,2015-01-28,1,3502.14,3267.55,7,8.73,-6923.5992,0.57
88426,2015-03-10,17,5.98,110.19,2,5.79,-67.49,0.36
88075,2015-04-20,20,3.8,73.55,6,1.49,19.6282,0.38
