Sl.No,Name of the station,District/Taluk/Revenue Village,Started on,Latitude,Longitude
1,"Taluk Office, Andimadam",Ariyalur Andimadam ANDIMADAM,2021-01-20,11.3354,79.3741
2,Ariyalur Taluk Office,Ariyalur Ariyalur ARIYALUR (S),2019-11-21,11.14,79.077
3,Kuruvadi,Ariyalur Ariyalur KURUVADI,2022-12-16,10.9728,79.2347
4,THIRUMANUR PWD OFFICE (R.C.DIVISION),Ariyalur Ariyalur THIRUMANUR,2019-11-21,10.9333,79.1
5,"PWD Office, Sendurai",Ariyalur Sendurai SENDHURAI,2019-11-21,11.2539,79.1763
6,Jayankondam taluk office,Ariyalur Udayarpalayam JAYAKONDASOLAPURAM,2019-11-21,11.2167,79.3666
7,Suthamalli dam,Ariyalur Udayarpalayam NADUVALUR(E),2022-12-16,11.041,79.1842
8,T.Palur Panchayat Union 0ffice,Ariyalur Udayarpalayam T. PALUR,2023-11-26,11.2388,79.4788
9,Chengalpattu,Chengalpattu Chengalpattu CHENGALPATTU,2014-01-01,12.6745,79.9774
10,Cheyyur,Chengalpattu Cheyyur CHEYYUR B,2012-01-01,12.3525,79.9995
11,Madurantakam taluk office,Chengalpattu Madhurantakam MADURANTHAKAM-PART I,2003-01-01,12.4991,79.8752
12,"Taluk Office, Tambaram",Chengalpattu Tambaram KADAPERI,2016-10-24,12.935,80.1269
13,Mammallapuram PWD bungalow,Chengalpattu Thirukkalukundram MAMALLAPURAM,1994-01-01,12.616,80.1878
14,"Taluk Office, Thirukalukundram",Chengalpattu Thirukkalukundram THIRUKALUKUNDRAM,2013-10-01,12.6161,80.1888
15,Keelampakkam,Chengalpattu Thirupporur KELAMPAKKAM,1940-01-01,12.7803,80.2294
16,"Taluk Office, Thiruporur",Chengalpattu Thirupporur THIRUPPORUR,2016-09-23,12.7201,80.1862
17,Alandur,Chennai Alandur MEENAMBAKKAM,2019-10-25,12.9975,80.2006
18,Ambathur,Chennai Ambattur Ambattur,2019-10-25,13.1095,80.149
19,Ayanavaram taluk office,Chennai Ayanavaram Ayanavaram (Part 1),2019-10-25,13.0883,80.2318
20,Chennai nungambakkam,Chennai Egmore Nungambakkam,2019-10-25,13.0667,80.25
21,Anna university,Chennai Guindy Kottur,2019-10-25,13.0092,80.2342
22,Gov hr sec school MGR Nagar,Chennai Mambalam Saligramam,2019-10-25,13.0331,80.2027
23,DGP Office,Chennai Mylapore Mylapore (Part 1),2019-10-25,13.05,80.2333
24,Perambur Corporation park,Chennai Perambur Perambur (Part 3),2019-10-25,13.0965,80.2922
25,Chennai collectorate building,Chennai Pursawalkam V.O.C Nagar,2019-10-25,13.1282,80.2916
26,Sholinganallur,Chennai Sholinganallur CHOZHINGANALLUR-2,2019-10-25,12.8773,80.2277
27,CD Hospital Tondiarpet,Chennai Tondiarpet Tondiarpet (Part 2),2019-10-25,13.1093,80.2427
28,Aliyar,Coimbatore Anaimalai ANAIMALAI.,2000-04-10,11.0168,76.9558
29,"Taluk Office, Anaimalai",Coimbatore Anaimalai ANAIMALAI.,2022-11-07,10.582,76.934
30,Annur,Coimbatore Annur ANNUR METTUPALAYAM.,2001-07-10,11.2337,77.1029
31,Airport Peelamedu,Coimbatore Coimbatore north KALAPATTY (EAST),1995-05-16,11.0748,77.0035
32,Periyanaickenpalayam,Coimbatore Coimbatore north PERIYANAIKANPALAYAM.,1992-11-21,11.1582,76.9528
33,T.N.A.U,Coimbatore Coimbatore north THELUNGUPALAYAM.,1989-03-05,11.0124,76.9357
34,Coimbatore South,Coimbatore Coimbatore south COIMBATORE OLD VILL. AND OL,2004-04-15,11.0009,76.9709
35,"Taluk Office, Kinathukkadavu",Coimbatore Kinathukadavu KINTHUKADAVU.,2022-11-07,10.822,77.016
36,"Railway Station, Podanur",Coimbatore Madukarai KURICHY.,2022-11-07,11.011,77.038
